COD SECC;75_2001;75_2011;HOG_64_2001;HOG_64_2011;HOG_MONO_2001;HOG_MONO_2011;EXT_2001;EXT_2011;EXT_MEN_2001;EXT_MEN_2011
3907505003;12,93;15,92;10,06;15,81;0,61;8,34;5,60;7,05;7,30;0,00
3907505004;9,33;16,13;8,35;21,35;2,70;7,26;4,27;1,82;5,85;0,00
3907505005;8,83;18,90;9,96;3,73;1,92;3,15;3,03;15,27;6,72;0,00
3907505006;8,61;4,57;9,25;11,65;1,25;5,18;2,05;43,30;0,85;13,46
3907505007;7,38;22,27;8,94;28,43;1,65;8,07;2,28;3,73;3,13;0,00
3907505008;6,45;0,00;4,72;5,04;1,89;17,75;3,13;0,00;1,87;0,00
3907505009;9,61;12,80;11,36;6,05;0,97;12,67;0,66;0,00;0,00;0,00
3907505010;6,79;12,09;8,22;21,43;1,91;0,00;4,31;13,97;5,06;18,69
3907505011;8,29;12,67;9,61;17,47;1,43;2,00;3,65;15,72;2,74;25,80
3907505012;7,54;16,11;7,89;13,30;1,58;5,16;3,82;18,76;4,05;32,63
3907505013;9,10;24,68;9,25;22,48;0,90;3,71;3,28;5,55;2,61;0,00
3907505014;9,46;18,16;11,20;16,54;0,66;3,05;2,87;20,02;4,91;10,95
3907505015;7,87;21,08;10,33;14,54;1,26;8,68;3,42;5,57;3,23;0,00
3907506001;14,74;20,27;9,86;19,18;1,55;7,32;5,99;23,62;10,53;8,79
3907506002;9,33;15,19;8,42;22,20;1,90;6,21;2,91;21,48;2,44;17,55
3907506003;10,03;15,28;8,49;12,11;0,58;16,27;1,60;23,71;0,00;26,20
3907506004;11,94;3,10;9,30;9,59;2,27;0,00;3,48;15,72;6,00;22,65
3907506005;15,55;14,15;11,15;11,81;0,53;7,14;1,87;6,36;2,06;0,00
3907506006;10,44;14,19;11,38;10,85;1,63;8,15;3,45;27,54;3,57;11,72
3907506007;9,98;16,23;10,45;21,27;2,05;3,60;2,08;8,58;3,64;0,00
3907506008;17,18;8,74;8,05;4,87;1,69;0,00;1,62;25,62;1,54;50,00
3907506009;15,47;12,24;11,36;13,43;1,05;2,55;3,48;39,41;2,40;5,67
3907506010;18,22;30,69;12,80;35,02;0,71;0,00;2,70;0,00;4,94;0,00
3907506011;11,31;30,08;10,31;28,11;0,59;4,10;1,30;23,42;0,89;18,33
3907506012;11,27;20,31;10,96;12,82;0,88;18,68;2,98;12,22;1,03;0,00
3907506013;6,62;10,92;5,69;16,49;1,58;5,47;3,28;9,05;3,36;0,00
3907506014;10,22;13,94;10,33;9,08;0,72;2,94;3,24;6,24;5,41;0,00
3907507001;9,40;21,18;10,27;6,68;1,56;0,00;1,36;1,06;4,55;0,00
3907507002;4,74;10,22;4,11;4,11;1,88;5,89;0,78;3,68;1,17;0,00
3907507003;11,38;24,18;13,39;26,14;0,59;0,00;2,54;5,57;2,96;0,00
3907507004;4,07;1,35;5,85;5,59;2,09;8,79;2,09;7,45;3,14;0,00
3907507005;6,43;12,34;8,22;18,76;2,99;2,48;0,82;7,30;1,21;21,86
3907507006;4,72;7,20;3,97;8,70;1,38;2,78;1,33;11,33;2,21;0,00
3907507007;6,99;6,48;5,53;7,49;1,05;3,58;2,17;3,43;2,38;0,00
3907507008;9,50;13,64;12,45;20,73;0,90;4,63;3,55;0,00;3,79;0,00
3907507009;8,68;12,98;12,03;15,35;1,97;7,58;2,17;20,41;1,37;41,12
3907507010;2,41;3,63;1,84;5,25;1,84;14,43;1,46;3,24;1,88;75,00
3907507011;5,20;5,42;6,16;21,83;0,92;3,64;2,08;21,01;2,05;28,40
3907507012;4,43;8,96;3,51;2,52;1,25;8,57;2,50;2,81;2,68;0,00
3907507013;7,88;18,09;10,19;14,31;1,60;8,57;2,11;2,99;2,48;31,16
3907507014;3,87;7,62;5,75;5,43;0,84;4,98;1,68;4,51;0,53;0,00
3907507015;6,45;12,48;10,03;11,40;2,25;3,47;1,67;0,00;2,92;0,00
3907507016;6,73;8,74;5,92;12,62;0,72;3,91;2,69;12,31;2,46;26,60
3907507017;7,60;10,36;5,92;14,00;0,57;16,87;2,03;0,00;2,63;0,00
3907507018;7,35;11,75;6,10;17,16;1,15;3,37;4,64;4,55;5,63;37,77
3907507019;7,02;21,30;5,64;16,12;1,37;0,00;2,59;13,58;5,38;0,00
3907507020;8,75;6,65;7,34;3,72;4,25;7,44;0,50;0,00;0,00;0,00
3907507021;7,19;6,95;6,07;5,04;0,46;9,15;1,05;8,52;1,34;0,00
3907507022;3,90;1,16;3,62;5,39;2,72;2,85;1,25;1,34;0,36;0,00
3907507023;3,07;1,93;1,68;2,84;2,18;11,45;1,71;5,54;2,76;28,05
3907508001;4,50;17,20;3,69;22,38;2,46;0,00;1,72;0,00;1,07;0,00
3907508002;5,90;6,84;4,87;5,51;1,62;10,30;1,15;0,00;1,20;0,00
3907508003;6,91;6,80;7,87;4,46;0,75;8,81;1,46;0,00;2,47;0,00
3907508004;8,22;5,23;4,35;5,76;0,83;5,11;4,44;4,79;2,31;0,00
3907508005;7,04;8,48;5,81;9,07;1,28;0,00;0,69;0,00;0,33;0,00
3907508006;7,01;12,45;10,57;16,38;0,91;5,01;0,86;14,43;0,00;12,98
3907508007;7,47;5,21;6,45;7,26;1,94;0,00;0,34;4,39;0,90;24,66
3907508008;8,77;5,29;8,36;12,95;1,62;2,41;0,75;3,78;0,72;0,00
3907508009;10,36;11,69;9,51;20,80;0,70;4,37;0,73;0,00;0,00;0,00
3907508010;14,38;2,48;3,03;9,46;1,10;0,00;1,46;10,77;0,00;0,00
3907508011;18,96;13,34;7,98;0,00;1,50;0,00;5,95;3,72;4,26;0,00
3907508012;7,87;7,26;6,34;7,05;1,10;7,37;0,53;6,10;0,00;0,00
3907508013;3,62;4,38;2,83;7,95;1,82;5,18;1,75;6,22;3,18;0,00
3907508014;6,01;4,11;6,90;4,20;1,57;4,45;1,48;5,72;4,08;24,45
3907508015;4,51;2,82;3,44;0,00;1,83;7,61;0,82;6,94;0,60;18,22
3907508016;5,77;5,56;3,81;12,53;2,45;2,98;3,20;1,35;2,16;0,00
3907508017;9,03;4,22;5,11;3,97;0,20;7,86;1,41;7,12;0,00;6,61
3907508018;3,42;5,75;3,32;6,53;1,66;8,44;0,98;1,72;0,87;0,00
3907508019;2,47;3,47;0,96;6,86;2,88;8,51;2,47;1,88;2,26;0,00
3907508020;2,58;1,60;2,17;5,57;2,99;10,94;1,87;9,95;0,90;27,77
3907508021;6,49;3,04;5,79;4,15;1,38;4,56;1,30;1,24;1,15;0,00
3907508022;1,49;2,83;0,89;5,48;2,84;3,91;2,27;1,50;1,94;0,00
3907508023;9,60;2,48;1,10;5,79;2,75;5,07;1,61;1,88;0,77;0,00
3907508024;5,21;5,56;4,49;0,00;1,22;5,83;1,16;0,73;1,40;0,00
3907508025;2,17;2,05;2,45;0,00;2,45;4,13;2,17;5,37;0,00;23,81
